,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
38,Bluff,0,AU,1538524464,48,-23.58,149.07,23.08,4.12
39,Namie,75,JP,1538521200,77,37.52,140.86,19.0,4.6
40,Shingu,40,JP,1538521200,64,33.72,135.99,21.0,1.5
41,Georgetown,20,GY,1538521200,83,6.8,-58.16,27.0,3.1
42,Albany,90,US,1538522820,90,42.65,-73.75,18.3,2.1
43,Upernavik,12,GL,1538524476,100,72.79,-56.15,-0.08,3.97
44,Shebalino,88,RU,1538524478,82,51.29,85.68,-1.93,1.07
45,San Pedro de Macoris,90,DO,1538521200,83,18.46,-69.3,27.0,1.5
46,Rafai,92,CF,1538524482,100,4.95,23.92,19.93,4.12
47,Constitucion,40,MX,1538520420,41,23.99,-104.67,24.0,3.1
48,Mecca,32,SA,1538524438,87,21.43,39.83,22.23,0.92
49,Ascheberg,92,DE,1538522400,87,51.79,7.62,11.0,3.1
50,Punta Arenas,75,CL,1538521200,80,-53.16,-70.91,4.0,11.8
51,Pisco,75,PE,1538521200,30,-13.71,-76.2,22.0,2.6
52,Iskateley,88,RU,1538524495,100,67.68,53.15,1.93,4.47
53,Dingzhou,0,CN,1538521200,66,38.51,115.0,13.0,3.0
54,Chake Chake,92,TZ,1538524499,97,-5.25,39.77,25.43,5.07
55,Ngunguru,0,NZ,1538524501,100,-35.62,174.5,14.93,4.42
56,Lismore,0,AU,1538524503,76,-28.81,153.28,19.78,1.22
57,Honiara,40,SB,1538521200,70,-9.43,159.96,31.0,2.1
58,Lorengau,8,PG,1538524508,97,-2.02,147.27,29.33,2.42
59,Bambous Virieux,40,MU,1538521200,73,-20.34,57.76,21.0,3.6
60,Zhanaozen,0,KZ,1538524512,50,43.35,52.85,13.48,2.47
61,Rikitea,100,PF,1538524514,100,-23.12,-134.97,20.28,8.72
62,Tasiilaq,80,GL,1538520600,74,65.61,-37.64,1.0,3.6
63,Kuching,75,MY,1538523000,94,1.56,110.34,25.0,0.5
64,Manono,80,CD,1538524521,47,-7.3,27.4,26.88,0.27
65,Omsukchan,88,RU,1538524523,85,62.53,155.8,-0.98,2.17
66,Tiksi,64,RU,1538524525,100,71.64,128.87,-3.93,4.02
67,Preobrazheniye,0,RU,1538524527,67,42.9,133.91,13.63,1.17
68,Busselton,0,AU,1538523776,100,-33.64,115.35,13.48,9.62
69,Luanda,40,AO,1538521200,88,-8.83,13.24,23.0,1.5
70,Caravelas,0,BR,1538524534,100,-17.73,-39.27,25.33,8.72
71,Chokurdakh,80,RU,1538524536,100,70.62,147.9,1.08,2.62
72,Severo-Kurilsk,24,RU,1538524538,84,50.68,156.12,10.43,6.82
73,Calabozo,56,VE,1538524540,85,8.92,-67.43,25.23,5.27
74,Lander,1,US,1538522100,41,42.83,-108.73,25.0,6.37
75,Pevek,8,RU,1538524544,92,69.7,170.27,6.63,5.37
76,Barrow,32,AR,1538524547,39,-38.31,-60.23,12.03,5.92
77,New Norfolk,75,AU,1538523000,76,-42.78,147.06,13.0,3.6
78,Antalaha,68,MG,1538524551,93,-14.9,50.28,20.53,3.67
79,Matara,0,PE,1538524553,54,-13.74,-72.9,9.83,0.87
80,Hithadhoo,68,MV,1538524555,100,-0.6,73.08,27.93,8.27
81,San Carlos,56,VE,1538524264,91,9.66,-68.59,23.78,1.02
82,Ouadda,44,CF,1538524560,97,8.07,22.4,19.18,2.92
83,Atuona,56,PF,1538524562,100,-9.8,-139.03,26.18,3.67
84,Kandi,0,BJ,1538524565,83,11.13,2.93,25.03,3.22
85,Synya,92,RU,1538524567,96,65.37,58.04,4.68,3.67
86,Marzuq,0,YE,1538524569,80,14.4,46.47,11.08,1.17
87,Castro,80,CL,1538524571,82,-42.48,-73.76,7.18,2.67
88,Erbaa,40,TR,1538520600,88,40.67,36.56,18.0,2.6
89,Avarua,40,CK,1538521200,41,-21.21,-159.78,25.0,9.3
90,Kirensk,92,RU,1538524578,99,57.78,108.12,6.53,1.37
91,Puerto Ayora,75,EC,1538521200,73,-0.74,-90.35,24.0,1.5
92,Tuktoyaktuk,75,CA,1538521740,92,69.44,-133.03,-3.0,4.6
93,Nanortalik,88,GL,1538524453,100,60.14,-45.24,1.33,2.12
94,Vaitape,44,PF,1538524586,100,-16.52,-151.75,24.53,12.02
95,Necochea,44,AR,1538524589,61,-38.55,-58.74,10.68,5.62
96,Rome,40,IT,1538522400,72,41.89,12.48,19.0,2.1
97,Dikson,64,RU,1538524593,100,73.51,80.55,3.48,9.17
98,Chumikan,0,RU,1538524595,70,54.72,135.31,9.08,4.17
99,Victor Harbor,75,AU,1538523000,67,-35.55,138.62,17.0,6.7
100,Avera,1,US,1538523300,77,33.19,-82.53,28.9,1.52
101,Sola,75,FI,1538522400,100,62.78,29.36,0.0,1.57
102,Katherine,0,AU,1538523000,48,-14.47,132.26,29.0,2.1
103,Clyde River,75,CA,1538521200,92,70.47,-68.59,-10.0,1.5
104,Rabo de Peixe,75,PT,1538523000,88,37.8,-25.58,21.0,6.2
105,San Jeronimo,0,PE,1538524610,54,-13.65,-73.37,9.83,0.87
106,Namibe,12,AO,1538524612,99,-15.19,12.15,19.53,1.42
107,Rudnya,8,RU,1538524614,65,50.8,44.56,15.38,5.92
108,Henties Bay,12,NA,1538524617,87,-22.12,14.28,15.58,1.97
109,Brainerd,90,US,1538523480,87,46.36,-94.2,10.0,5.1
110,Polis,0,CY,1538523000,68,35.04,32.42,20.0,3.6
111,Thompson,40,CA,1538521200,38,55.74,-97.86,5.0,7.2
112,San Quintin,20,PH,1538521200,74,17.54,120.52,26.0,2.1
113,Nalut,44,LY,1538524627,75,31.86,10.98,16.28,1.42
114,Hermanus,56,ZA,1538524630,86,-34.42,19.24,10.08,2.77
115,Konosha,88,RU,1538524632,96,60.97,40.26,7.08,4.97
116,Saint-Philippe,90,CA,1538522100,100,45.36,-73.48,11.6,4.1
117,Sabha,48,LY,1538524636,34,27.03,14.43,27.78,4.97
118,Vila Franca do Campo,75,PT,1538523000,88,37.72,-25.43,21.0,6.2
119,Laguna,5,MX,1538520120,52,27.52,-110.01,33.0,2.6
120,East London,92,ZA,1538524643,100,-33.02,27.91,16.58,14.12
121,Salym,88,RU,1538524645,92,60.06,71.48,5.53,2.57
122,Bossangoa,48,CF,1538524647,93,6.5,17.45,21.08,1.47
123,Provideniya,90,RU,1538521200,93,64.42,-173.23,10.0,8.0
124,Lata,0,IN,1538524651,80,30.78,78.62,7.18,1.12
125,Big Spring,40,US,1538522100,46,32.25,-101.48,30.6,7.2
126,Balkanabat,0,TM,1538524656,54,39.51,54.36,14.33,1.77
127,Resistencia,90,AR,1538521200,72,-27.45,-58.99,19.0,2.1
128,Nishihara,20,JP,1538521200,70,35.74,139.53,21.0,3.72
129,Sitka,0,US,1538524662,41,37.17,-99.65,28.33,7.92
130,Livingston,75,US,1538521080,69,32.58,-88.19,30.0,1.5
131,Pacific Grove,1,US,1538523300,47,36.62,-121.92,25.0,8.7
132,Tazovskiy,0,RU,1538524669,65,67.47,78.7,-5.58,3.07
133,Norman Wells,40,CA,1538521200,48,65.28,-126.83,5.0,4.1
134,Bredasdorp,76,ZA,1538521200,71,-34.53,20.04,11.0,0.5
135,Blackwater,40,GB,1538522400,82,51.33,-0.78,15.0,5.1
136,San Policarpo,92,PH,1538524678,100,12.18,125.51,24.18,2.82
137,Belozerskoye,76,RU,1538524680,80,55.82,65.58,6.13,2.72
138,Krasnogorsk,40,RU,1538521200,93,55.82,37.34,9.0,4.0
139,Pavlovsk,40,RU,1538521200,92,53.31,82.99,4.0,4.0
140,The Valley,75,AI,1538521200,74,18.22,-63.06,29.0,1.5
141,Merauke,68,ID,1538524688,77,-8.49,140.4,27.68,7.57
142,Changping,0,CN,1538521200,81,40.22,116.23,11.0,3.0
143,Goshen,1,US,1538523420,82,41.58,-85.83,17.8,2.77
144,Gigmoto,20,PH,1538524695,100,13.78,124.39,27.58,4.82
145,Kaitangata,0,NZ,1538524697,79,-46.28,169.85,11.73,1.67
146,Homer,90,US,1538520780,69,59.64,-151.54,12.2,6.92
147,Leningradskiy,64,RU,1538524702,85,69.38,178.42,5.93,6.27
148,Gemena,0,CD,1538524704,93,3.25,19.78,20.83,1.27
149,Christchurch,0,NZ,1538523000,71,-43.53,172.64,12.0,7.2
150,Kyren,20,RU,1538524708,70,51.68,102.13,-2.13,1.12
151,Northport,75,US,1538520780,65,33.23,-87.58,29.4,2.6
152,Samarai,56,PG,1538524712,100,-10.62,150.67,25.43,8.82
153,Atasu,0,KZ,1538524715,72,48.68,71.64,0.08,3.32
154,Tucupita,0,VE,1538524717,69,9.06,-62.05,28.33,4.27
155,Xining,76,CN,1538524719,98,36.62,101.77,1.58,1.57
156,Kruisfontein,92,ZA,1538524721,88,-34.0,24.73,15.28,5.67
157,Culit,12,PH,1538524723,100,8.95,125.36,26.53,1.77
158,Dharchula,0,IN,1538524725,68,29.85,80.53,6.03,0.82
159,Fomboni,0,KM,1538524727,100,-12.28,43.74,25.53,2.52
160,Tungor,76,RU,1538524730,69,53.39,142.95,9.93,5.67
161,Jijiga,0,ET,1538524732,85,9.35,42.8,9.83,1.27
162,Rocha,0,UY,1538524734,82,-34.48,-54.34,7.83,2.12
163,Isangel,32,VU,1538524736,100,-19.55,169.27,22.88,7.52
164,Washington DC.,1,US,1538524020,69,38.9,-77.04,26.7,3.77
165,Kurchum,0,KZ,1538524740,97,48.57,83.65,4.18,6.17
166,Riyadh,0,SA,1538521200,19,24.63,46.72,24.0,1.0
167,Qaanaaq,12,GL,1538524745,100,77.48,-69.36,-4.93,4.07
168,Axim,44,GH,1538524747,98,4.87,-2.24,25.78,3.72
169,Tocopilla,32,CL,1538524749,100,-22.09,-70.2,15.18,2.07
170,Grindavik,75,IS,1538521200,64,63.84,-22.43,4.0,2.1
171,Mar del Plata,92,AR,1538524753,45,-46.43,-67.52,10.28,7.17
172,Yellowknife,75,CA,1538521620,58,62.45,-114.38,-1.0,9.8
173,Pljevlja,80,ME,1538523000,100,43.36,19.36,5.0,1.07
174,Vila Velha,0,BR,1538521200,69,-3.71,-38.6,27.0,5.7
175,Miri,12,NG,1538524524,94,10.31,9.75,19.53,1.27
176,Sabya,0,YE,1538524764,80,16.19,43.1,20.58,1.27
177,Phayakkhaphum Phisai,75,TH,1538521200,94,15.52,103.19,23.0,0.5
178,Melendugno,40,IT,1538522400,88,40.27,18.34,21.0,1.5
179,Lamu,76,ID,1538524771,83,0.57,122.3,25.98,1.32
180,Changuinola,80,PA,1538524773,100,9.44,-82.52,24.13,1.27
181,Rorvik,56,NO,1538524775,100,64.86,11.24,3.93,1.52
182,Eyl,48,SO,1538524777,96,7.98,49.82,23.73,5.92
183,Huangmei,0,CN,1538524779,92,30.1,115.95,17.78,1.32
184,Matagami,88,NG,1538524782,98,9.67,8.4,20.28,1.57
185,Vao,20,EE,1538524784,97,59.1,26.19,5.78,3.42
186,Sault Sainte Marie,1,CA,1538521200,73,46.49,-84.36,11.7,2.1
187,Antofagasta,75,CL,1538521200,72,-23.65,-70.4,15.0,6.7
188,Butaritari,0,KI,1538524790,100,3.07,172.79,29.23,1.87
189,Nakamura,0,JP,1538521200,72,35.17,136.87,20.0,3.6
190,Aksu,0,KZ,1538523000,93,52.04,76.93,2.0,2.0
191,Ishigaki,20,JP,1538522100,65,24.34,124.16,26.0,8.2
192,Marsh Harbour,56,BS,1538524799,100,26.54,-77.06,28.03,8.17
193,Klaksvik,20,FO,1538522400,80,62.23,-6.59,4.0,3.6
194,Port Elizabeth,1,US,1538524500,78,39.31,-74.98,25.0,3.6
195,Peiting,8,DE,1538522400,75,47.8,10.92,10.0,9.3
196,Evensk,88,RU,1538524809,100,61.92,159.24,6.88,6.27
197,Kaputa,0,ZM,1538524875,81,-8.47,29.66,16.03,0.72
198,Wagga Wagga,75,AU,1538521200,68,-35.12,147.37,18.0,9.3
199,Auki,0,NG,1538524879,82,12.18,6.51,23.83,3.72
200,Sieradz,75,PL,1538523000,93,51.6,18.74,7.0,7.2
201,Saint-Francois,90,FR,1538523000,58,46.42,3.91,13.0,0.5
202,Fortuna,0,ES,1538523000,72,38.18,-1.13,18.0,2.6
203,Itarema,0,BR,1538524826,73,-2.92,-39.92,25.63,7.77
204,Shetpe,0,KZ,1538524829,54,44.14,52.16,11.78,2.67
205,Lompoc,40,US,1538520960,45,34.64,-120.46,25.6,3.6
206,Suez,0,EG,1538524833,85,29.97,32.54,21.03,1.77
207,Vanimo,0,PG,1538524836,100,-2.67,141.3,29.03,4.32
208,Myanaung,80,MM,1538524838,99,18.28,95.32,24.33,1.32
209,Sechura,56,PE,1538524840,84,-5.56,-80.82,20.68,5.52
210,Zyryanka,8,RU,1538524843,78,65.73,150.89,1.38,1.47
211,Souillac,90,FR,1538523000,82,45.6,-0.6,14.0,1.5
212,Luderitz,0,NA,1538524847,75,-26.65,15.16,14.53,9.97
213,Veraval,90,FR,1538523000,93,49.65,0.71,16.0,3.6
214,Nikolskoye,0,RU,1538523000,93,59.7,30.79,5.0,2.0
215,Ostersund,92,SE,1538522400,100,63.18,14.64,1.0,1.5
216,Ayan,0,TR,1538524856,90,40.67,33.6,4.83,1.07
217,Tilichiki,76,RU,1538524858,91,60.47,166.1,7.58,2.77
218,Somerset,1,US,1538523000,94,37.09,-84.6,24.4,2.87
219,Cherskiy,12,RU,1538524862,81,68.75,161.3,4.93,0.97
220,Victoria,75,BN,1538523000,100,5.28,115.24,24.0,1.5
221,Fort Nelson,75,CA,1538521200,36,58.81,-122.69,7.0,3.1
222,Kikwit,64,CD,1538524869,96,-5.04,18.82,21.53,0.77
223,Vestmannaeyjar,92,IS,1538524872,94,63.44,-20.27,5.43,0.97
224,Killybegs,92,IE,1538524874,100,54.63,-8.45,12.38,7.62
225,Buckeye,75,US,1538523300,88,33.37,-112.58,26.7,3.1
226,Sibolga,24,ID,1538524878,100,1.74,98.78,20.38,0.97
227,Tual,12,ID,1538524881,97,-5.67,132.75,27.03,5.42
228,Barao de Melgaco,0,BR,1538521200,94,-16.19,-55.97,25.0,1.47
229,Hamilton,75,CA,1538523840,93,43.26,-79.87,17.0,2.6
230,Marsabit,0,KE,1538524888,62,2.34,37.99,22.18,6.37
231,Wamba,88,CD,1538524890,98,2.14,27.99,18.83,0.52
232,Palmer,75,AU,1538523000,67,-34.85,139.16,17.0,6.7
233,Santona,0,ES,1538523000,71,43.44,-3.46,13.0,2.1
234,Ribeira Grande,80,PT,1538524897,100,38.52,-28.7,21.18,2.72
235,Komsomolskiy,24,RU,1538524899,86,67.55,63.78,-2.68,4.57
236,Dingle,0,PH,1538524901,90,11.0,122.67,26.58,0.97
237,Plouzane,90,FR,1538523000,93,48.38,-4.62,14.0,3.6
238,Chicama,75,PE,1538521200,82,-7.84,-79.15,18.0,4.1
239,Luba,0,PH,1538524908,83,17.32,120.7,23.23,1.42
240,Khatanga,88,RU,1538524910,96,71.98,102.47,-1.28,2.52
241,North Myrtle Beach,20,US,1538523600,71,33.83,-78.68,26.1,2.1
242,Vallenar,0,CL,1538524915,73,-28.58,-70.76,13.83,0.92
243,Rio Gallegos,40,AR,1538521200,84,-51.62,-69.22,6.0,12.3
244,Puerto Madryn,56,AR,1538524781,59,-42.77,-65.04,11.68,6.87
245,Margate,75,AU,1538523000,76,-43.03,147.26,13.0,3.6
246,Zhuanghe,0,CN,1538524923,100,39.7,122.97,18.33,0.27
247,Kurumkan,20,RU,1538524925,74,54.33,110.32,-1.98,0.57
248,Adrar,0,DZ,1538521200,22,27.87,-0.29,26.0,3.1
249,Olinda,75,EC,1538521200,69,-2.03,-79.75,27.0,3.6
250,Gornopravdinsk,88,RU,1538524932,87,60.06,69.92,6.13,2.62
251,Kavieng,88,PG,1538524934,100,-2.57,150.8,29.33,1.32
252,Longyearbyen,75,NO,1538520600,74,78.22,15.63,-1.0,4.6
253,Ulladulla,0,AU,1538521200,48,-35.36,150.48,19.0,2.6
254,Carlyle,90,CA,1538523300,93,49.63,-102.27,3.0,6.2
255,Ust-Ishim,92,RU,1538524943,80,57.69,71.17,7.33,2.57
256,Port Lincoln,88,AU,1538524945,98,-34.72,135.86,13.88,8.77
257,Poum,64,MK,1538524947,82,41.28,20.71,9.73,0.87
258,Vanavara,0,RU,1538524949,63,60.35,102.28,-0.33,2.97
259,Victoria,75,BN,1538523000,100,5.28,115.24,24.0,1.5
260,Ostrovnoy,64,RU,1538524954,78,68.05,39.51,-4.33,2.62
261,Odienne,24,CI,1538524956,92,9.51,-7.57,22.28,1.17
262,Richards Bay,92,ZA,1538524958,84,-28.77,32.06,19.33,6.12
263,Nelson Bay,0,AU,1538523000,59,-32.72,152.14,19.0,3.6
264,Vilyuysk,92,RU,1538524962,99,63.75,121.63,3.18,2.27
265,Saskylakh,68,RU,1538524964,89,71.97,114.09,-5.23,1.47
266,Loandjili,75,CG,1538521200,83,-4.77,11.87,25.0,2.6
267,Lebu,0,ET,1538524969,80,8.96,38.73,8.48,2.42
268,Mehran,0,IR,1538521200,30,33.12,46.17,20.0,1.0
269,San Ramon,40,NI,1538521200,73,12.92,-85.84,23.0,0.82
270,Sfantu Gheorghe,0,RO,1538523000,93,44.65,26.83,13.0,4.6
271,San Patricio,44,PY,1538524978,92,-26.98,-56.83,18.53,2.42
272,Bulgan,0,MN,1538524980,64,48.81,103.53,2.03,2.92
273,Selenduma,0,RU,1538524982,77,50.92,106.24,1.43,1.57
274,Anloga,40,GH,1538521200,88,5.79,0.9,26.0,4.1
275,Half Moon Bay,75,US,1538520960,61,37.46,-122.43,29.0,9.8
276,Mareeba,40,AU,1538523000,61,-16.99,145.42,26.0,8.2
277,Bathsheba,20,BB,1538521200,83,13.22,-59.52,28.0,3.6
278,Gotsu,75,JP,1538521200,82,35.01,132.22,16.0,3.1
279,Port Lavaca,1,US,1538522100,75,28.61,-96.63,30.6,5.1
280,Salur,0,IN,1538524997,95,18.52,83.21,22.33,1.17
281,Birao,12,CF,1538524999,80,10.3,22.78,23.83,1.32
282,Mafeteng,0,LS,1538525002,55,-29.82,27.24,8.63,5.32
283,Airai,0,TL,1538525004,66,-8.93,125.41,23.73,1.02
284,Guerrero Negro,20,MX,1538525006,100,27.97,-114.04,22.33,2.07
285,Narasannapeta,36,IN,1538525008,94,18.42,84.04,23.43,1.22
286,Boyuibe,90,BO,1538521200,72,-20.43,-63.28,18.0,2.77
287,Los Llanos de Aridane,0,ES,1538523000,78,28.66,-17.92,23.0,3.1
288,Korenovsk,20,RU,1538523000,100,45.46,39.45,16.0,1.0
289,Bonthe,92,SL,1538525017,99,7.53,-12.5,24.83,1.67
290,Coquimbo,0,CL,1538521200,76,-29.95,-71.34,13.0,4.1
291,Opuwo,0,NA,1538525021,26,-18.06,13.84,21.53,3.02
292,Fairbanks,1,US,1538521080,7,64.84,-147.72,15.2,2.57
293,Bure,12,NG,1538525026,80,10.52,10.33,23.03,1.37
294,Broome,0,GB,1538522400,71,52.47,1.45,12.6,4.1
295,Naqadeh,32,IR,1538524919,100,36.96,45.39,19.03,1.47
296,Oudtshoorn,92,ZA,1538521200,93,-33.59,22.2,11.0,3.1
297,El Alto,75,BO,1538521200,51,-16.5,-68.19,10.0,7.2
298,Bushenyi,44,UG,1538525037,89,-0.54,30.19,14.83,1.17
299,Kiskunfelegyhaza,0,HU,1538522100,65,46.71,19.84,7.0,3.1
300,Haines Junction,0,CA,1538525041,32,60.75,-137.51,7.53,1.17
301,Zhigalovo,24,RU,1538525043,85,54.81,105.15,2.68,0.87
302,Karpathos,0,GR,1538522400,77,35.51,27.21,21.0,1.0
303,Mahebourg,40,MU,1538521200,73,-20.41,57.7,21.0,3.6
304,Kodiak,1,US,1538520780,55,39.95,-94.76,29.4,6.2
305,Kattivakkam,40,IN,1538523000,83,13.22,80.32,28.0,2.67
306,Ayagoz,32,KZ,1538525054,88,47.96,80.43,1.83,3.37
307,Namatanai,20,PG,1538525056,95,-3.66,152.44,29.33,1.87
308,Aswan,0,EG,1538521200,25,24.09,32.9,31.0,2.6
309,Trinidad,0,UY,1538524985,81,-33.52,-56.9,6.43,1.27
310,Svetlogorsk,48,RU,1538523000,64,53.14,59.15,3.0,3.0
311,Ponta do Sol,36,BR,1538525065,79,-20.63,-46.0,20.08,0.97
312,Anzio,40,IT,1538522400,72,41.45,12.63,19.0,2.1
313,Puerto Escondido,75,MX,1538520000,70,15.86,-97.07,31.0,1.5
314,Dehui,0,CN,1538521200,71,44.53,125.71,11.0,3.0
315,Hami,20,CN,1538525073,42,42.84,93.51,11.53,4.67
316,Ponta Delgada,75,PT,1538523000,88,37.73,-25.67,21.0,6.2
317,Ilulissat,0,GL,1538524200,49,69.22,-51.1,-3.0,4.1
318,Vardo,75,US,1538524020,88,39.62,-77.74,26.1,2.6
319,Beringovskiy,88,RU,1538525082,97,63.05,179.32,8.23,9.57
320,Gurlan,0,UZ,1538523000,59,41.84,60.39,18.0,2.1
321,Vestmanna,0,FO,1538522400,80,62.16,-7.17,4.0,3.6
322,Emba,0,CY,1538523000,68,34.81,32.42,22.0,3.6
323,Bubaque,20,GW,1538521200,94,11.28,-15.83,26.0,4.42
324,Keetmanshoop,0,NA,1538525093,34,-26.57,18.15,17.28,3.27
325,Matay,0,EG,1538525095,57,28.42,30.79,23.58,5.27
326,Bandarbeyla,56,SO,1538525097,97,9.49,50.81,24.68,7.27
327,Gat,36,SN,1538525099,95,14.69,-16.54,24.43,2.57
328,Naze,75,NG,1538521200,94,5.43,7.07,25.0,1.77
329,Seoul,0,KR,1538521200,87,37.57,126.98,14.0,1.5
330,Anadyr,90,RU,1538523000,100,64.73,177.51,9.0,7.0
331,Hobyo,56,SO,1538524874,90,5.35,48.53,24.33,5.72
332,Platanos,20,GR,1538522400,88,35.47,23.6,20.0,3.57
333,Northam,75,GB,1538524200,93,51.04,-4.21,14.0,1.5
334,Nouadhibou,48,MR,1538521200,64,20.93,-17.03,24.0,4.1
335,Contai,0,IN,1538525117,100,21.78,87.75,28.63,4.47
336,Kundiawa,0,PG,1538525119,73,-6.02,144.97,20.43,0.92
337,Luangwa,0,MZ,1538525122,67,-15.62,30.4,20.48,2.82
338,Taywarah,0,AF,1538525124,76,33.35,64.42,-1.43,1.17
339,Karratha,0,AU,1538525126,44,-20.74,116.85,24.28,4.97
340,Esperance,20,TT,1538521200,83,10.24,-61.45,28.0,1.5
341,Mednogorsk,24,RU,1538525130,69,51.41,57.59,-0.28,2.87
342,Otjiwarongo,0,NA,1538521200,39,-20.46,16.65,22.0,0.5
343,Atar,44,MR,1538525135,37,20.52,-13.05,26.33,1.82
344,Broken Hill,48,AU,1538525137,35,-31.97,141.45,25.83,3.52
345,Lakes Entrance,20,AU,1538525139,66,-37.88,147.99,19.93,2.42
346,Foca,0,TR,1538522400,93,38.67,26.76,15.0,0.5
347,Waddan,0,LY,1538525143,56,29.16,16.14,22.48,1.92
348,Touros,48,BR,1538525145,89,-5.2,-35.46,24.53,5.72
349,Havelock,20,US,1538524440,81,34.88,-76.9,25.6,2.6
350,Arraial do Cabo,0,BR,1538521200,83,-22.97,-42.02,24.0,2.6
351,Jurm,48,AF,1538525152,97,36.86,70.83,0.93,0.32
352,Honningsvag,88,NO,1538525154,99,70.98,25.97,3.83,6.42
353,Waipawa,64,NZ,1538525156,55,-39.94,176.59,17.03,1.22
354,Kamiiso,20,JP,1538521200,67,41.82,140.65,17.0,5.7
355,Ossora,92,RU,1538525160,100,59.24,163.07,6.53,4.62
356,Gambo,20,NG,1538525163,80,11.96,9.63,23.83,1.27
357,Alekseyevka,40,RU,1538523000,46,53.25,50.49,10.0,5.0
358,Snezhnogorsk,75,RU,1538523000,69,69.19,33.23,1.0,1.0
359,Lobva,24,RU,1538525169,87,59.19,60.52,5.93,2.47
360,Mugur-Aksy,92,RU,1538525171,87,50.38,90.44,-1.98,1.12
361,Papara,0,BR,1538521200,69,-3.98,-38.73,27.0,5.7
362,Raudeberg,88,NO,1538524200,86,61.99,5.14,5.0,1.0
363,Sistranda,75,NO,1538524200,81,63.73,8.83,6.0,7.2
364,Aden,0,YE,1538525180,100,12.79,45.03,27.48,3.47
365,Horconcitos,92,PA,1538525183,95,8.47,-81.8,22.78,1.07
366,Kokoda,44,PG,1538525185,82,-8.88,147.74,22.78,0.07
367,Terrace Bay,56,CA,1538525187,100,48.78,-87.1,8.08,5.72
368,Deputatskiy,88,RU,1538525189,88,69.3,139.9,-3.78,5.02
369,Ust-Charyshskaya Pristan,92,RU,1538525191,91,52.39,83.67,4.63,3.37
370,Paita,40,PE,1538521200,290,-5.09,-81.11,17.0,4.1
371,Altamont,92,CA,1538524500,100,49.4,-98.5,11.0,4.6
372,Khasan,0,RU,1538525198,99,42.43,130.64,15.63,3.42
373,Beaverlodge,20,CA,1538521200,56,55.21,-119.43,0.0,5.7
374,Saint-Agapit,90,CA,1538521200,93,46.56,-71.44,8.0,6.7
375,Oranjestad,20,AW,1538521200,79,12.52,-70.03,29.0,7.7
